date,employee_title,location,employee_status,review_title,main_text,pros,cons,rating_overall,company_name
Fri May 22 2020 10:49:32 GMT+0900 (Korean Standard Time), Principal Enterprise Architect,"Dallas, TX",Current Employee ,Overall good company,I have been working at Sabre full-time for more than 10 years,Great technology company. Great benefits. Flexible hours. Good people.,Frequent restructuring with layoffs. Not too many opportunities for promotions. HR not very helpful.,"3.0
★★★★★",Sabre
Wed Jun 10 2020 18:43:38 GMT+0900 (Korean Standard Time), Principal Incident Manager,"Southlake, TX",Current Employee ,Toxic Workplace,I have been working at Sabre full-time for more than 8 years,"Good pay, Benefits, Customers I can't list nothing else","Long hours, Very poor Management that only care about themselves and their own care which they use their employees to do their work and get promoted. Very clickish company and if you are not liked by the VP, she gets rid of you. It doesn't matter how hard you work only if you are in the click. Hard work does not pay off there. Backstabbing environment","1.0
★★★★★",Sabre
Mon May 18 2020 11:13:46 GMT+0900 (Korean Standard Time), Tech Lead,"Irving, TX",Current Employee ,Good,I have been working at Sabre full-time for more than 8 years,Good Work life balance at the company,Old technologies that prevents innovation.,"3.0
★★★★★",Sabre
Wed May 13 2020 10:13:43 GMT+0900 (Korean Standard Time), Senior Principal Program Manager,"Dallas, TX",Former Employee ,Sabre review,I worked at Sabre full-time for more than 10 years,Professional and forward thinking w technology and Travel Industry,Lay-offs vs moving employees around; no career advancement in US only in the off shore locations where the company growth is,"3.0
★★★★★",Sabre
Wed Apr 29 2020 17:27:12 GMT+0900 (Korean Standard Time), Principal Product Manager,,Former Employee ,Amazing work with passionate teams. Work life balance can be tough.,I worked at Sabre full-time for more than 3 years,Amazing industry surrounded by the smartest people in the travel biz.,Work can be too fast paced sometimes and work life balance suffers.,"4.0
★★★★★",Sabre
Thu May 28 2020 13:41:43 GMT+0900 (Korean Standard Time), Programmer Analyst,"Southlake, TX",Current Employee ,A Large Company That Thinks Like a Large Company,I have been working at Sabre full-time for more than 8 years,"When things are good in the industry, things are good for everyone.","When things are bad, employees are expendable.","1.0
★★★★★",Sabre
Mon May 04 2020 11:58:40 GMT+0900 (Korean Standard Time), Senior Financial Analyst,"Southlake, TX",Current Employee ,Eh,I have been working at Sabre full-time for more than a year,"great co-workers, good snacks in the break room.. well at least on the 5th floor","the same old politics, managers who don't really want to promote analysts","2.0
★★★★★",Sabre
Tue Apr 28 2020 19:50:28 GMT+0900 (Korean Standard Time), Manager,"Dallas, TX",Current Employee ,Great work-life balance - poor growth opportunities,I have been working at Sabre full-time for more than 3 years,Slightly above industry average in salary and benefit package.,"Company growth is limited, therefore professional growth opportunities are limited.","3.0
★★★★★",Sabre
Thu Apr 09 2020 10:31:14 GMT+0900 (Korean Standard Time), Business Development Manager,"Dallas, TX",Former Employee ,I Love Sabre,I worked at Sabre full-time for more than 8 years,"Internal advancement, great benefits, top notch executives and management",Hard to scale support for the large amount of customers,"5.0
★★★★★",Sabre
Tue Apr 07 2020 16:29:12 GMT+0900 (Korean Standard Time), Software Developer,"Southlake, TX",Current Employee ,"Decent place, but frustrating at times",I have been working at Sabre full-time for more than 5 years,Pretty good benefits and work-life (depending on your manager of course).,"Not many full stack opportunities as the structure in many divisions keeps these teams separated. At the end of the day, it all comes down to saving money, so we would hire from a worse candidate pool to save a few bucks.","3.0
★★★★★",Sabre
Tue Apr 07 2020 09:53:17 GMT+0900 (Korean Standard Time), Principal Program Manager,"Southlake, TX",Former Employee ,Loved everyone I worked with,I worked at Sabre full-time for more than 10 years,"Great employees, good benefits, good pay",Didn't always agree with Management's motives. There was no life balance,"3.0
★★★★★",Sabre
Thu Apr 02 2020 10:31:13 GMT+0900 (Korean Standard Time),,,Current Employee ,Great people but stuck in their old ways,I have been working at Sabre full-time for more than a year,People want Sabre to succeed and are willing to work to make it happen.,"Separate business divisions do not always work well together. Instead of building up Sabre, they tend to focus only on their specific divisions.","3.0
★★★★★",Sabre
Wed Apr 01 2020 05:55:28 GMT+0900 (Korean Standard Time), IT Program Manager,"Fort Worth, TX",Current Employee ,Good Place to Work,I have been working at Sabre full-time,"Fun culture, always learning something new","Although it has gotten better, seems like there are always layoffs","3.0
★★★★★",Sabre
Tue Mar 10 2020 07:32:16 GMT+0900 (Korean Standard Time),,"Carrollton, TX","Digital Strategist in Carrollton, TX","High performance team enabled by great management (Hospitality Solitions, DX)",I have been working at Sabre,"Learning opportunities, benefits, emerging culture. Great managers who are there to nurture a positive environment and development their team members.",Location if you don’t live in Ft. Worth. Also there are some challenges with siloing which are being addressed.,"5.0
★★★★★",Sabre
Mon Mar 09 2020 17:47:03 GMT+0900 (Korean Standard Time), IT Director,"Southlake, TX",Former Employee ,Stable company with top managers making decisions,I worked at Sabre full-time for more than 10 years,stable with flexibility and good work life balance,Too management making all the core decision,"4.0
★★★★★",Sabre
Tue Mar 17 2020 13:05:05 GMT+0900 (Korean Standard Time),,,Current Employee ,Solid Company,I have been working at Sabre full-time,Lots to learn at company,Heavily tied to airline industry,"3.0
★★★★★",Sabre
Wed Feb 26 2020 16:41:17 GMT+0900 (Korean Standard Time)," Director, Security Management","Dallas, TX",Former Employee ,Awesome place to work,I worked at Sabre full-time for more than 3 years,Great place to work. Opportunities for growth,Nothing comes to mind. Management is top class,"4.0
★★★★★",Sabre
Fri Feb 28 2020 15:08:24 GMT+0900 (Korean Standard Time), Principal Solution Design,"Southlake, TX",Former Employee ,Not the company they used to be,I worked at Sabre full-time,"Work/life balance, travel, decent benefits","tant fear of layoffs, management no longer has airline background","3.0
★★★★★",Sabre
Thu Feb 20 2020 22:18:56 GMT+0900 (Korean Standard Time), Senior Human Resources Analyst,"Southlake, TX",Former Employee ,Old School,I worked at Sabre full-time for more than a year,Flexible work schedule and flexible seating.,HR was old school. They were focused more on how long the person has been working for Sabre then developing the new talent.,"3.0
★★★★★",Sabre
Tue Feb 11 2020 08:10:07 GMT+0900 (Korean Standard Time), Principal Program Manager,"Southlake, TX",Former Employee ,Steady but political,I worked at Sabre full-time for more than 5 years,Great co-workers; highly professional and dedicated to their work.,"At the time, organizational chaos was the norm, largely driven by a few egotistical leaders. I suspect that has changed for the better given a regime change.","3.0
★★★★★",Sabre
Tue Jan 14 2020 17:48:24 GMT+0900 (Korean Standard Time), Senior Software Engineer,"Southlake, TX",Current Employee ,work and life balance,I have been working at Sabre full-time for more than 8 years,"flexible in dress code, working hours are not strict",it is not a growth company although most of the business have a lot to do with technology (and the stress working for technology),"4.0
★★★★★",Sabre
Wed Jan 08 2020 19:38:16 GMT+0900 (Korean Standard Time),,"Southlake, TX",Current Employee ,Paid parental leave,I have been working at Sabre full-time for more than a year,Family friendly policies where everyone now can take at least 12 weeks off with pay for paternity or maternity leave. Great benefit!,Make sure you plan for the time off!,"5.0
★★★★★",Sabre
Wed Jan 22 2020 10:13:02 GMT+0900 (Korean Standard Time), AdvAdministrative Assistant,"Westlake, TX",Former Employee ,Should have followed my intincts,I worked at Sabre full-time for less than a year,Good benefits and good pay,"No home life, Little to no training, very little support, and the other admins will throw you under the bus.","1.0
★★★★★",Sabre
Tue Dec 17 2019 06:52:05 GMT+0900 (Korean Standard Time), User Experience Designer,"Southlake, TX",Current Employee ,A Good Place to Work,I have been working at Sabre full-time for more than a year,"A variety of products to work on, great work/life balance. Good focus on culture.",Poor processes and relations with product development,"4.0
★★★★★",Sabre
Fri Dec 13 2019 09:24:50 GMT+0900 (Korean Standard Time), Senior Software Engineer,"Miami, FL",Former Employee ,Sabre,I worked at Sabre full-time for more than 8 years,Sabre is using New Technology,I am not with Sabre anymore,"5.0
★★★★★",Sabre
Wed Dec 11 2019 12:54:53 GMT+0900 (Korean Standard Time), Vice President,"Southlake, TX",Former Employee ,Big enough to do exciting market shifting things -- small enough to move,I worked at Sabre full-time for more than 8 years,Great CEO at the time,profitability gained by annual layoffs,"5.0
★★★★★",Sabre
Mon Dec 02 2019 12:57:11 GMT+0900 (Korean Standard Time), Contributor Software Engineer,,Current Employee ,"Good company, competitive pay and decent culture",I have been working at Sabre full-time,"Good company, competitive pay and decent culture",Lack of a strong job security.,"5.0
★★★★★",Sabre
Fri Dec 13 2019 07:08:56 GMT+0900 (Korean Standard Time), Product Owner,"Southlake, TX",Current Employee ,Good company,I have been working at Sabre full-time for more than 3 years,New technology . Flex working timings,Too many changes at higher management . No clear direction.,"3.0
★★★★★",Sabre
Thu Dec 26 2019 21:47:01 GMT+0900 (Korean Standard Time),,"Southlake, TX",Former Employee ,BIGGEST REGRET OF MY CAREER is going to work for Sabre.,I worked at Sabre full-time for more than a year,"Sean Menke has a grand vision for transforming the company, and he has not been afraid to make changes to his leadership team. There are still has people that are not respected or trusted in critical positions, but hopefully Sean will continue to make changes.","I saw multiple red flags before being talked into joining Sabre, but I bought into the hard-sell that the recently revamped executive team’s main priority was to change the negative culture and company reputation. It was a huge mistake to believe the hype - it’s just a sales pitch, it wasn’t reality! The instability and chaos of constant changes throughout the company feeds the continual fear of whether people are going to lose their job. It is the only company over my career that I would say has a “toxic” environment. Resistance to change: It got old hearing “that’s the Sabre way” as an excuse for blocking changes that will enable the transformation that Sean Menke (CEO) and 1-2 innovative executives are trying to make. The harsh reality is that many do not support change, nor do they want employees who are courageous to recommend and pursue real change. Instead, I observed the employees who challenged the status-quo or tried to implement new ways of doing things consistently left the company within a short period of doing so (either voluntarily or were “laid-off”). Multiple lay-offs each year continue to be the norm: A common phrase I heard was “you have to stay under the radar if you want to survive the next round of reduction-in-force roulette” - which I now agree is true. I personally observed 5 different rounds of “realignments” in less than 2 years where groups of people were laid off (realignment is considered a more “friendly” term so they don’t use the term “lay-off”). A VP said in a meeting that lay-offs are an expected norm in business! The leadership clearly doesn’t have the “business acumen” to figure out how to avoid laying-off people when they have hundreds of job openings at the same time. Multiple “Reorganizations” every 6-12 months: It has been “the Sabre way” over the last few years to reorganize once or twice a year. As a result of the frequent reorganizations and realignments (lay-offs) employees rarely have the same manager for more than a year. I personally experienced 2 reorganizations and reported to 3 different people in 1.5 years. My hiring manager had 3 different managers within the first 4-months at Sabre! The longest amount of time any of my team members had any manager was just over 1 year (one co-worker had 14 managers in 9 years). Mediocrity wins: What I observed in my area was the people who remain employed are those who “go along to get along.” Strong, progressive, innovative, creative people are not tolerated at Sabre, so they leave as quickly as they can or are pushed out by others trying to protect their own job. Trying to improve and advance the company is just beating your head against the wall day after day. I wish I would have read everything that is available or talked to an employee (not involved in the hiring process) before I joined Sabre, to be informed of how Sabre actually treats people. The signs were there - I wish I had trusted my instincts to pay attention not only to what they were saying, but also to what they clearly weren’t saying!","1.0
★★★★★",Sabre
Tue Dec 03 2019 09:15:24 GMT+0900 (Korean Standard Time), Vice President,,Former Employee ,Plusses and Minuses,I worked at Sabre full-time,The office location is nice.,A difficult industry to compete in.,"3.0
★★★★★",Sabre
Tue Nov 19 2019 21:45:05 GMT+0900 (Korean Standard Time), Software Engineer(Internship),,Former Employee ,"Alright Program, hit or miss with team",I worked at Sabre full-time for less than a year,Work experience on products that are customer facing,Some teams don't really give you much work to work on,"3.0
★★★★★",Sabre
Wed Dec 04 2019 10:24:13 GMT+0900 (Korean Standard Time), Program Manager,"Southlake, TX",Former Employee ,Nothing good about Sabre,I worked at Sabre full-time for more than 10 years,Benefits were the only thing I can think of. The rest was simply a nightmare.,Management is terrible. constant leadership rotation because the run as fast as they can once they get to know where the company is heading.,"1.0
★★★★★",Sabre
Tue Nov 12 2019 01:10:17 GMT+0900 (Korean Standard Time), Management,"Dallas, TX",Former Employee ,Experience with great people,I worked at Sabre full-time for more than 8 years,Benefits are good. Networking availability to build experience and to work with very talented people.,Communication needs improvement. Reactive approaches. High probability of layoff. Employees are not valued.,"3.0
★★★★★",Sabre
Fri Oct 25 2019 18:40:10 GMT+0900 (Korean Standard Time),,,Former Employee ,TPF Software Engineer,I worked at Sabre full-time for more than 8 years,Work remote from Miami Florida,does not give you enough time to stay up to date with new technology,"5.0
★★★★★",Sabre
Fri Nov 01 2019 04:59:38 GMT+0900 (Korean Standard Time), Principal,,Former Employee ,Tough Tech,I worked at Sabre full-time for more than a year,"Nice office, pay is decent.",Not a supportive environment.,"2.0
★★★★★",Sabre
Thu Oct 17 2019 07:55:26 GMT+0900 (Korean Standard Time), Contractor,,Former Employee ,Nice,I worked at Sabre full-time,The work is interesting and sometimes challenging.,People are very clique-y. And it's difficult to get promotions unless you're with the in-crowd.,"3.0
★★★★★",Sabre
Sat Sep 28 2019 10:56:01 GMT+0900 (Korean Standard Time), Lead Technical Program Manager,"Dallas, TX",Current Employee ,Great Company,I have been working at Sabre full-time for more than 10 years,Work schedule flexibility and great diversity,The hours are very long and a lot it expected,"5.0
★★★★★",Sabre
Tue Sep 17 2019 18:34:09 GMT+0900 (Korean Standard Time), Senior Customer Service Agent,"Southlake, TX",Current Employee ,A good learning experience,I have been working at Sabre full-time for more than a year,Good environment to learn. Friendly. Has a lot of tools to help people to grow inside the company,"Lack of communication from leadership. They do not try to help the good employees, but instead help the ones that complaint the most.","4.0
★★★★★",Sabre
Wed Sep 25 2019 19:34:00 GMT+0900 (Korean Standard Time), Contributing Web Developer,,Former Employee ,Sabre isn't what it used to be,I worked at Sabre full-time for more than 5 years,"You get to work on some great projects, building sites for high end hotels and resorts. It was an absolute pleasure working with the other developers for the good amount of time I was there, brilliant and helpful.","Over the past year, management completely destroyed whatever 'culture' there was, even though in every company call that's all they talked about, I really don't believe they know what 'culture' means. Management will also ask you to work evenings, weekends, on your days off (PTO) without any consideration for you, your time or your family - all because they promise ridiculous deadlines to the clients. You'll be extremely underpaid for the amount of work they ask you to do. With all that said, as any type of developer position, there's a good chance they'll eventually consider your position obsolete and outsource to another country.","2.0
★★★★★",Sabre
Thu Sep 12 2019 20:24:38 GMT+0900 (Korean Standard Time), Reservation Agent,"Westlake, TX",Current Employee ,Great company,I have been working at Sabre full-time for less than a year,"Shift,and the training was great",none I know of.Its a good company,"4.0
★★★★★",Sabre
Wed Sep 18 2019 20:33:03 GMT+0900 (Korean Standard Time), Principal Systems Engineer,,Current Employee ,"Good company, awesome colleagues",I have been working at Sabre full-time for more than 3 years,Awesome teams to work with,very ambitious plans not appropriately funded,"3.0
★★★★★",Sabre
Tue Sep 17 2019 18:31:21 GMT+0900 (Korean Standard Time), Contributor IT Audit,,Current Employee ,It's Ok,I have been working at Sabre full-time for less than a year,"Good work life balance
Good management",Company culture is lacking a bit,"3.0
★★★★★",Sabre
Mon Oct 07 2019 18:23:09 GMT+0900 (Korean Standard Time), Reservations Agent,"Southlake, TX",Former Employee ,Laid off 60+ people with notice,I worked at Sabre full-time for more than 8 years,Great health insurance benefits for employees,Clueless leadership No loyalty to employees Shady business dealings,"1.0
★★★★★",Sabre
Mon Sep 16 2019 12:22:42 GMT+0900 (Korean Standard Time), Senior Analyst,,Former Employee ,Good place to work - frequency layoffs,I worked at Sabre full-time,Good work-life balance in company,Upper management strategy seems lost,"2.0
★★★★★",Sabre
Sat Sep 07 2019 18:33:33 GMT+0900 (Korean Standard Time), Project Manager,,Former Employee ,Ups and Downs,I worked at Sabre full-time for more than 3 years,Easy to build strong peer relationships even as a global company,"Innovation is spoken about, but budget never allows for what is really needed","2.0
★★★★★",Sabre
Thu Aug 22 2019 10:58:11 GMT+0900 (Korean Standard Time), Contributor,,Current Employee ,Great Company,I have been working at Sabre full-time for more than 10 years,Most managers respect their staff and do their best to motivate,"Not enough allowance to work from home one day a week. Some WFH 3 days a week, some departments have a zero WFH policy.","4.0
★★★★★",Sabre
Fri Sep 06 2019 05:51:43 GMT+0900 (Korean Standard Time), Principal,,Current Employee ,Poor culture,I have been working at Sabre full-time,"You will meet some wonderful colleagues, and pay is competitive.","Technology is not easily upgradeable. Culture is political and has the blame-game. Sometimes you see mass-voluntary resignations of talented people who just can't take the culture anymore. Sometimes you see grey-area ethical decisions to increase the bottom-line. ""Integrity"" used to be a formally adopted corporate value, and it was removed. Telecommuting used to be supported, but many teams have now banned it.","1.0
★★★★★",Sabre
Wed Jul 31 2019 11:38:00 GMT+0900 (Korean Standard Time), Team Lead,,Current Employee ,Good work culture,I have been working at Sabre full-time,"A great team, use of latest technology",Too many lay offs in the recent times,"4.0
★★★★★",Sabre
Fri Aug 09 2019 09:13:57 GMT+0900 (Korean Standard Time), Senior Accountant,,Former Employee ,Prioritized TeamBuilding,I worked at Sabre full-time for more than 3 years,Allowed for networking and team building during company hours,"tant turnover of management; need better balance of team work hours, tasks so no one person is working more than others of the same title","3.0
★★★★★",Sabre
Tue Jul 23 2019 15:12:36 GMT+0900 (Korean Standard Time), Software Development Manager,,Current Employee ,"Great, Stable place to work",I have been working at Sabre full-time for more than 8 years,"Flexible work environment, Good work-life balance, good technology stack",Business is moving offshore locations.,"4.0
★★★★★",Sabre
Tue Aug 06 2019 20:56:26 GMT+0900 (Korean Standard Time), Customer Service Specialist,"Westlake, TX",Former Employee ,NEEDS BETTER MANAGEMENT!,I worked at Sabre full-time for less than a year,"Easy job, beautiful courtyard area for lunch.",Very inconsistent procedure and policy. Unclear expectations,"3.0
★★★★★",Sabre
Mon Aug 05 2019 14:36:04 GMT+0900 (Korean Standard Time), Senior Manager,"Southlake, TX",Former Employee ,Okay,I worked at Sabre full-time for more than a year,Strong corporate social responsibility. Leader of its industry.,Poor execution of vision and strategy. Difficulty in expanding its services outside of core offering.,"3.0
★★★★★",Sabre
Sat Aug 03 2019 13:45:30 GMT+0900 (Korean Standard Time), Contributor Software Developer,,Current Employee ,Working experience at Sabre,I have been working at Sabre full-time,Good work culture and environment,No cons to add while working at sabre,"3.0
★★★★★",Sabre
Fri Jul 26 2019 07:31:58 GMT+0900 (Korean Standard Time), Senior Scrum Master/Technical Product Owner,"Southlake, TX",Current Employee ,Sabre Review,I have been working at Sabre full-time for more than 10 years,Flexibility and good Health Benefits.,Seems that layoffs have been the norm every quarter.,"3.0
★★★★★",Sabre
Wed Jul 10 2019 19:47:42 GMT+0900 (Korean Standard Time), Senior Business Analyst,"Southlake, TX",Current Employee ,Great opportunity,I have been working at Sabre full-time for more than a year,Could work from home occasionally,Structurally changes and shrinking,"4.0
★★★★★",Sabre
Wed Aug 07 2019 09:19:54 GMT+0900 (Korean Standard Time), Principal Designer,"Southlake, TX",Former Employee ,Toxic UX Enviroment,I worked at Sabre full-time for more than a year,Decent Colleagues Good Benefits Good Work Life Balance,Toxic Environment Legacy Products Huge Egos Poor Design Process,"1.0
★★★★★",Sabre
Tue Jul 16 2019 08:42:18 GMT+0900 (Korean Standard Time), Financial Analyst,,Former Employee ,Good Place to Work,I worked at Sabre full-time for more than a year,"Great people to work with, fun environment",Upper management can play favoritism,"3.0
★★★★★",Sabre
Sat Jun 29 2019 15:00:41 GMT+0900 (Korean Standard Time), Vice President,"Southlake, TX",Current Employee ,Great company to work for,I have been working at Sabre full-time for less than a year,Technology company. Strong leadership at the top. Developing a great culture. Lots of opportunities.,The faster the change the better!,"5.0
★★★★★",Sabre
Thu Jun 27 2019 13:03:03 GMT+0900 (Korean Standard Time), Sales,,Former Employee ,"Good experience, great colleagues, some room for improvement.",I worked at Sabre full-time,Good experience/learning opportunity working in a high volume client environment.,"High staff turnover. Training and learning opportunities, upward career mobility and communication between departments can certainly be improved.","4.0
★★★★★",Sabre
